predicted_types,actual_types,inference_time,shas,precision,recall,f1,exact_match,hamming_loss,context_len,with_message,concern_count
"[""fix""]","[""test""]",1.0036789872683585,"[""7c48976f943e1e9b5850967b6f2963a205476ded""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""refactor""]","[""refactor""]",1.149021735880524,"[""5748ff57ebafe94c4979eafa790d9a84812ca440""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.6972664073109627,"[""be8dd55c2179a1743ddbda56b5e88a1a89c92bcc""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""feat""]",0.6116349217481911,"[""15b8e4bc9349ce017f65e10b95cae48b0aa11828""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""build""]",0.6153694433160126,"[""37b1cbfd3d2c462ef4f2a131e4172c38dc8d9ddf""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""ci""]","[""ci""]",0.5948741692118347,"[""8d2e23bde626eaed6e5b13384cc7ac38bab5ea66""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""fix""]","[""fix""]",1.014671877026558,"[""44ac09d356fa02bdbb840638846f7a7500700d23""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""ci""]","[""ci""]",0.6123217083513737,"[""be44bbdeb52c6025e81c99528ed7b0d932c5be18""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""build""]",0.5848034722730517,"[""b7e38fb62aa6e8a30d72dec063b1adccd089d0aa""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""refactor""]",1.1256356751546264,"[""3e0e30ecebaf23f0c36fa4811426f8f4e0057cfe""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""feat""]","[""feat""]",1.2174630989320576,"[""293f301a4bb248799c467d1fef413ed3909f47a4""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""test""]","[""test""]",0.6642595930024981,"[""6c7398993bc567ec84e4573b6ededbf50b1ef606""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.5482305218465626,"[""036a0ff49a7dade0e04c9c07071a1ff49133ee24""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""fix""]","[""fix""]",0.7628491153009236,"[""73b8948ea1d49e05ae8c63b17926eda4cb04e9bb""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""refactor""]","[""fix""]",0.6385820740833879,"[""ccd1946a375e2ac10c3c591b04a435c4bc5170c2""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""feat""]","[""feat""]",1.1205507842823863,"[""542f0cad5337de15428f0b6567ce4efd20a19a48""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""build""]",0.7162707508541644,"[""4ab28fc2e63e975a0c77e18ae644f34fa5f8771a""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build"", ""refactor""]","[""ci""]",0.7888463651761413,"[""b7b9c23698e7238eda26a1135018625181badd82""]",0.0,0.0,0.0,False,0.42857142857142855,2048,False,1
"[""refactor""]","[""refactor""]",0.6307817683555186,"[""190aef43fd30e693af822c176f9b686591568719""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""test""]","[""test""]",0.5507491920143366,"[""960af3a1c31fe2b5ab32e580089f67c9da816fcc""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.5463806660845876,"[""527e0abd0f88cb3ae2dc1a6ec7a62c241250444d""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.6648102938197553,"[""ee7cc5d5a940fba774e715b1f029c6361110b108""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""feat""]",1.2155205933377147,"[""8a954673531d6935f5517535b9068639ed5cff0d""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""refactor""]","[""refactor""]",0.8052212418988347,"[""0e4ede620dd9a2cdc13ab9cc6da05577b39fddb8""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""build""]",0.6892448831349611,"[""ecc481f9f501aa34b41e06e7bbdde6e79f8ca1bb""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""ci""]",0.5241151722148061,"[""bda1822851d9be04f0d39f2213d1e2066eb115c8""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""test""]","[""test""]",0.5903299921192229,"[""7df6b872b9c820a35572b926d2496460a4c8b24a""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""fix""]","[""fix""]",0.548493891954422,"[""c4d9e5023fa0f88ba283b37da27677ceda1cbfbb""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""fix""]","[""fix""]",1.113678827881813,"[""0d43299ccee2b2e018fae24896c45d8d8be66bc6""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""test""]",1.2124392450787127,"[""90a48c74f6faa0829d3809f739a42c0133e63ae0""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""refactor""]","[""refactor""]",0.6373763610608876,"[""e8a8edadc5c25d6410462b89a48e0602e0cbbc7f""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.5494804494082928,"[""9849430b11b92ae58d94cfe4d0b06313c7eab550""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""build""]",0.8627639599144459,"[""45bbdaba1490a3216decb2c1a88b8f7041a3d505""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs"", ""feat""]","[""feat""]",0.7424203539267182,"[""1ae8bf1195b197daa80ba6e45360f8b894364cd4""]",0.5,1.0,0.6666666666666666,False,0.14285714285714285,2048,False,1
"[""ci""]","[""ci""]",0.717880408745259,"[""976c34b6fdc32a7f3337f98e67a7c9e4ee9e793e""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""refactor""]","[""refactor""]",0.7226688219234347,"[""1c8ff5cf2feb3ce0b7d0fbfc43be8d20f5b73287""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",0.5620178580284119,"[""e50a61d63755a4a955c2a6535a865773e2ac01d5""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""build""]","[""test""]",0.5856879819184542,"[""076b9f5efc109b481074a81957e24ce9f4a69f08""]",0.0,0.0,0.0,False,0.2857142857142857,2048,False,1
"[""build""]","[""build""]",1.2078145472332835,"[""b2415c4d3de7b5d6da47668a3de630c07b30b300""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""fix""]","[""fix""]",0.7616435396485031,"[""a81bbb83d64867f08c4d1be10919ef6806a1bf51""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""feat""]",1.2404362452216446,"[""3730075261bc81df68f9d10f12a2d6bbffd8493c""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""ci""]","[""ci""]",0.6774289319291711,"[""db55dae208e4807898e6c747cefdf9bfcb4fd08c""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""docs""]","[""docs""]",1.2041792217642069,"[""dfab97842fe78fb8f217a5185fb6ec92682a53ca""]",1.0,1.0,1.0,True,0.0,2048,False,1
"[""feat""]","[""feat""]",0.9585969913750887,"[""73211952964a79d97b434dd567e6d7d34be7feb5""]",1.0,1.0,1.0,True,0.0,2048,False,1
