Row_Index,Actual_Types,LLM_Prediction,LLM_Exact_Match,LLM_Any_Match,SLM_Prediction,SLM_Exact_Match,SLM_Any_Match,FineTuned_SLM_Prediction,FineTuned_SLM_Exact_Match,FineTuned_SLM_Any_Match
0,['fix'],['feat'],False,False,"['feat', 'refactor']",False,False,['refactor'],False,False
1,['test'],['test'],True,True,['test'],True,True,['test'],True,True
2,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
3,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
4,['fix'],"['fix', 'refactor']",False,True,['fix'],True,True,['fix'],True,True
5,['build'],['build'],True,True,['build'],True,True,['build'],True,True
6,['refactor'],['feat'],False,False,"['feat', 'refactor']",False,True,['feat'],False,False
7,['feat'],['feat'],True,True,"['feat', 'refactor']",False,True,['feat'],True,True
8,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
9,['test'],['test'],True,True,['test'],True,True,['test'],True,True
10,['feat'],['feat'],True,True,"['refactor', 'feat']",False,True,['feat'],True,True
11,['build'],"['build', 'test']",False,True,"['build', 'test']",False,True,['build'],True,True
12,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
13,['docs'],['docs'],True,True,"['fix', 'docs']",False,True,['docs'],True,True
14,['feat'],['feat'],True,True,['feat'],True,True,['feat'],True,True
15,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
16,['test'],['test'],True,True,['test'],True,True,['test'],True,True
17,['build'],['build'],True,True,['build'],True,True,['build'],True,True
18,['fix'],"['fix', 'refactor']",False,True,"['fix', 'refactor']",False,True,['fix'],True,True
19,['test'],['test'],True,True,['test'],True,True,['test'],True,True
20,['feat'],['feat'],True,True,['feat'],True,True,['feat'],True,True
21,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
22,['build'],['build'],True,True,['build'],True,True,['build'],True,True
23,['feat'],"['feat', 'docs']",False,True,"['feat', 'refactor', 'docs', 'test', 'ci', 'build']",False,True,['feat'],True,True
24,['test'],['test'],True,True,['test'],True,True,['test'],True,True
25,['ci'],['ci'],True,True,['ci'],True,True,['build'],False,False
26,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
27,['test'],"['build', 'test']",False,True,['test'],True,True,['test'],True,True
28,['docs'],['docs'],True,True,"['docs', 'feat']",False,True,['docs'],True,True
29,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
30,['build'],['build'],True,True,['build'],True,True,['build'],True,True
31,['fix'],['fix'],True,True,['fix'],True,True,['build'],False,False
32,['build'],"['fix', 'build']",False,True,['build'],True,True,['build'],True,True
33,['docs'],['docs'],True,True,['docs'],True,True,['docs'],True,True
34,['docs'],['docs'],True,True,"['feat', 'docs']",False,True,['docs'],True,True
35,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
36,['docs'],['docs'],True,True,"['fix', 'test']",False,False,['docs'],True,True
37,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
38,['refactor'],['refactor'],True,True,"['refactor', 'docs']",False,True,['refactor'],True,True
39,['refactor'],['refactor'],True,True,['refactor'],True,True,['refactor'],True,True
40,['refactor'],"['refactor', 'test']",False,True,['refactor'],True,True,['refactor'],True,True
41,['fix'],['fix'],True,True,['fix'],True,True,['fix'],True,True
42,['test'],['test'],True,True,['test'],True,True,['test'],True,True
43,['build'],['fix'],False,False,"['fix', 'build']",False,True,['build'],True,True
44,['ci'],['ci'],True,True,['ci'],True,True,['ci'],True,True
45,['build'],"['fix', 'build']",False,True,['build'],True,True,['build'],True,True
