predicted_types,actual_types,inference_time,shas
['docs'],"['refactor', 'docs']",40.3501250743866,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['feat', 'fix', 'refactor']","['fix', 'feat']",5.5078840255737305,"['ab1e60a97c6d5c688dacbd23bca40cb8f20c4ac3', 'f823cf28652987d43c8324b4f5b203240032383a']"
"['feat', 'refactor']",['test'],44.56703519821167,['11ffd5174bd61a2939ae58d2b2d43284302ae490']
"['build', 'cicd', 'test']","['build', 'refactor']",18.238480806350708,"['e0a977b2d316e7612b5d72cb02cd7d78e75dbc55', '0d23f1b3ed22e615b9611bb4eae01d2241e64dff']"
"['docs', 'test']","['docs', 'test']",17.40256428718567,"['9ed3c0c4a72af977fc9150512fb6538f20a94b22', 'f87659953e9af59bc7cb314a22dd076d988ef607']"
"['feat', 'refactor']",['test'],9.387816190719604,['7ece3a9a16780dc6c633bbd903d36ce0aefd6a8a']
"['docs', 'test', 'feat']","['docs', 'build', 'test']",20.779197931289673,"['363f84c7da411468b4103da8e0b39ca48cfd8327', '1269431c8a3e7549f10fcbbb4b88ff625c8898b3', '48d5d573886e9fdd0cca1cea47112c4a2f6edf52']"
"['refactor', 'cicd']","['refactor', 'cicd', 'fix']",9.582214832305908,"['f1bc5a554af4e617c7d7508f7f16f8fd25c78c91', 'e96487ad7ce90b141219d9032fa2bed68d5dae6a', 'c5904a9004fca1e438168ca7334a0deefab536ff']"
"['docs', 'cicd']","['docs', 'cicd']",2.513637065887451,"['f2f52c23b513dd857350f3c163f676d37189d0d3', '2ac99c0a66a1adc18ee4ef660608f814823dd198']"
['build'],['build'],1.7930920124053955,['9ab4c61975e073e214646443d088339cfdbaa88d']
"['refactor', 'test']","['test', 'fix']",9.586902856826782,"['c5e86dbc00a13a355bffadeb2db197e2fea5640f', '07452180fee89e98f05e1aeca68f9923d4c7ab63']"
['build'],"['build', 'fix']",6.3538689613342285,"['607ecc92b5f8c084304e406eec725b7dcfa0a562', '7dc3b70fe40fc7de255a28bb3098bcb8c0d35365']"
