context_len,model,hl_ci,hl_mean,ci_low,ci_high,n_commits,n_rows
1024,GPT-4.1,"0.15 [0.14, 0.17]",0.1524,0.1353,0.1694,350,1050
2048,GPT-4.1,"0.16 [0.14, 0.17]",0.158,0.1411,0.1748,350,1050
4096,GPT-4.1,"0.16 [0.14, 0.17]",0.1561,0.1393,0.1728,350,1050
8192,GPT-4.1,"0.16 [0.14, 0.17]",0.1561,0.1396,0.1725,350,1050
12288,GPT-4.1,"0.16 [0.15, 0.18]",0.1626,0.1459,0.1793,350,1050
1024,Qwen,"0.17 [0.15, 0.19]",0.1722,0.1534,0.1911,350,1050
2048,Qwen,"0.18 [0.16, 0.19]",0.1751,0.1562,0.194,350,1050
4096,Qwen,"0.19 [0.17, 0.21]",0.1886,0.1681,0.209,350,1050
8192,Qwen,"0.19 [0.17, 0.21]",0.1865,0.1671,0.206,350,1050
12288,Qwen,"0.19 [0.17, 0.21]",0.1873,0.1678,0.2069,350,1050
1024,QwenFT,"0.12 [0.10, 0.14]",0.119,0.1018,0.1362,347,1041
2048,QwenFT,"0.11 [0.10, 0.13]",0.1122,0.0955,0.1288,349,1047
4096,QwenFT,"0.11 [0.09, 0.13]",0.108,0.0909,0.125,348,1044
8192,QwenFT,"0.10 [0.08, 0.12]",0.1003,0.0843,0.1163,349,1047
12288,QwenFT,"0.10 [0.09, 0.12]",0.1014,0.0851,0.1177,348,1044
