predicted_types,actual_types,inference_time,shas
"['feat', 'fix', 'refactor', 'docs']","['refactor', 'docs']",19.435832023620605,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['feat', 'fix']","['fix', 'feat']",5.3829450607299805,"['ab1e60a97c6d5c688dacbd23bca40cb8f20c4ac3', 'f823cf28652987d43c8324b4f5b203240032383a']"
"['feat', 'test']",['test'],24.696168899536133,['11ffd5174bd61a2939ae58d2b2d43284302ae490']
"['build', 'test', 'cicd', 'refactor', 'fix']","['build', 'refactor']",17.54873299598694,"['e0a977b2d316e7612b5d72cb02cd7d78e75dbc55', '0d23f1b3ed22e615b9611bb4eae01d2241e64dff']"
['docs'],"['docs', 'test']",13.179322957992554,"['9ed3c0c4a72af977fc9150512fb6538f20a94b22', 'f87659953e9af59bc7cb314a22dd076d988ef607']"
"['feat', 'refactor']",['test'],9.182149171829224,['7ece3a9a16780dc6c633bbd903d36ce0aefd6a8a']
"['feat', 'test', 'docs', 'build']","['docs', 'build', 'test']",11.606731176376343,"['363f84c7da411468b4103da8e0b39ca48cfd8327', '1269431c8a3e7549f10fcbbb4b88ff625c8898b3', '48d5d573886e9fdd0cca1cea47112c4a2f6edf52']"
"['refactor', 'cicd']","['refactor', 'cicd', 'fix']",8.95859408378601,"['f1bc5a554af4e617c7d7508f7f16f8fd25c78c91', 'e96487ad7ce90b141219d9032fa2bed68d5dae6a', 'c5904a9004fca1e438168ca7334a0deefab536ff']"
"['docs', 'cicd']","['docs', 'cicd']",2.068134069442749,"['f2f52c23b513dd857350f3c163f676d37189d0d3', '2ac99c0a66a1adc18ee4ef660608f814823dd198']"
['build'],['build'],1.3930058479309082,['9ab4c61975e073e214646443d088339cfdbaa88d']
"['feat', 'test']","['test', 'fix']",9.26072382926941,"['c5e86dbc00a13a355bffadeb2db197e2fea5640f', '07452180fee89e98f05e1aeca68f9923d4c7ab63']"
['feat'],"['build', 'fix']",5.940911054611206,"['607ecc92b5f8c084304e406eec725b7dcfa0a562', '7dc3b70fe40fc7de255a28bb3098bcb8c0d35365']"
"['feat', 'refactor']","['refactor', 'build', 'feat']",12.61205792427063,"['3346331a963766c8193170fb130adad2e658ada2', 'bfe32bf10e9b6d699f694fbd095af0b3f2e6275f', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
"['docs', 'cicd']","['docs', 'build', 'refactor']",4.984990835189819,"['cab2cf4d3fffb0ec2b56d455e67ac5fa992b4104', '2236b37bd671fdb71313cbc6ebd7633f0effba34', 'd7972da833257c073403dec3c2ac3a7f297e328a']"
"['feat', 'fix', 'refactor', 'docs', 'test', 'cicd', 'build']","['build', 'feat', 'test']",12.414027214050293,"['bb3e3d9b96e435c3b92fc208bca93d1ad7e1ad50', '6f4c06076abff94f8bb5c634beaba55483a78b72', '6c7398993bc567ec84e4573b6ededbf50b1ef606']"
"['feat', 'refactor', 'cicd']","['feat', 'refactor', 'docs']",12.31961989402771,"['9114362b39f5194209cd0b330af7076333f3db77', 'ee4bf61fb8836e249fb4ef3507dc938e70696b3f', '12257ce53f94dc902df4ba087de90f52d2840ad4']"
['cicd'],"['cicd', 'fix']",1.9320881366729736,"['6132632f7517195c7333308e9c667cdb756bf0af', 'c623b3622058b913290120b06ccdc779a4e4413d']"
"['cicd', 'refactor']","['build', 'fix', 'docs']",7.210211992263794,"['88129ee45b1d49bc4ff887f3b488464cc7097e29', '61eaa2d0cca9bd27d6c5f0a8f9b34200b77fdbb0', '9ed3c0c4a72af977fc9150512fb6538f20a94b22']"
"['feat', 'cicd']","['feat', 'cicd', 'build']",10.567039251327515,"['fd8e563cc19ca4684885d4692acee6bebcca4ada', 'e82254c4ca73fe55834f005f08bc2a060496f815', '9ab4c61975e073e214646443d088339cfdbaa88d']"
"['build', 'feat']","['build', 'feat']",9.207797050476074,"['c323d59c607cabc91f17a78528d998f376f30b10', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
"['feat', 'fix', 'refactor']","['refactor', 'fix', 'docs']",10.864943027496338,"['2954a0955ce9af6acb345ed1e8328e145ad30475', '6889543bec720e7e7da66535e1012cb66edfe081', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['feat', 'docs']","['refactor', 'docs']",6.592778921127319,"['cd7e8c3d3549ea05115b3f02586eeba894d86906', 'e0177c25e13812306aab0b0991562d58b6d14767']"
"['feat', 'test']","['test', 'refactor']",3.9426491260528564,"['672cd2b9775fb6dac2d522cb3f4469db47c0556b', '36556bf8e0bce4ab6d26eafacbdad04d9614a5d7']"
"['fix', 'docs']","['fix', 'docs']",4.555103302001953,"['174f25214caa10ec643db6c81aaa0f3511bf78f4', '04e70ce964b343e28b3dbd0c46d10ccda958ab8c']"
"['refactor', 'fix']","['refactor', 'fix', 'test']",7.481583833694458,"['a62314d9bb632be6af026686615d14b912250512', '5636313d7c9cfbd9f48578fd104771d65eae9720', '98bed2a8137930149559bc1cae9bd34a1a75e556']"
"['refactor', 'fix']",['fix'],1.8936328887939453,['c4d9e5023fa0f88ba283b37da27677ceda1cbfbb']
['refactor'],['refactor'],3.369758129119873,['a50b51999015e210918d9c8e95fd4cac347353be']
"['feat', 'fix']","['refactor', 'docs']",7.3506481647491455,"['7dbbb64c45506ef634180638db800b6d9535523d', '9ed3c0c4a72af977fc9150512fb6538f20a94b22']"
"['feat', 'fix', 'refactor']","['fix', 'refactor', 'build']",7.5356762409210205,"['c6403b62f8dc0e5bfe25a1c6306fb7040ca447ae', '63eab619e6166eb6cab948028a7b89bf059dd878', 'c55591ba157298a9c5816693c102a89dfd058830']"
"['feat', 'refactor']",['fix'],1.5845000743865967,['a280a52c8309465276c3509848ddcddbe19732b6']
"['test', 'fix']","['test', 'docs']",3.59234619140625,"['f411e58cd510f8a2b980b2f1932003a0c0e9f8f3', 'cccdd8a43fea7614f78b6f1dcf1765100928a3db']"
['cicd'],['cicd'],2.0824267864227295,['7152173d26293f4638920b17ce2dfa8ae995193b']
"['feat', 'refactor']","['refactor', 'docs']",8.875488996505737,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', '3ee672483790ec71c700907a6e93af4698492026']"
"['feat', 'refactor']",['feat'],2.875025749206543,['4197f2654e8767039dbfd66eca34f261ee3d88c8']
"['cicd', 'test']","['cicd', 'test']",7.786375284194946,"['f751bb5426b87f82096d620f1cd6203badf45d58', '19feaea1885eb015759b5c7a5d785521f2b8a212']"
"['feat', 'fix', 'refactor', 'docs', 'test', 'cicd', 'build']","['fix', 'test', 'docs']",12.359210968017578,"['9474f58b44a35321e9157ca9890c589a7b3729b2', '47df74d40becf915a9d89cdb887abd259b77def0', 'cb1f48b56ae0de93acb72e48726c7d610a1d538e']"
"['test', 'feat']","['test', 'refactor', 'cicd']",14.243216037750244,"['48d5d573886e9fdd0cca1cea47112c4a2f6edf52', 'bb2ccc1a778452aebf233cf78b20f1f4bab4354b', 'c5fa7b80438fbd74f4c341f0d3c9bd9e0f4910da']"
