predicted_types,actual_types,inference_time,shas
"['refactor', 'docs']","['refactor', 'docs']",17.16329598426819,"['bf95d5d0b34d32ef2684488feb3de01cb824b2b4', 'eb51316cdfdc7258d287ba13b67ef2f42bd2b8f6']"
"['refactor', 'build']","['fix', 'feat']",4.713651895523071,"['ab1e60a97c6d5c688dacbd23bca40cb8f20c4ac3', 'f823cf28652987d43c8324b4f5b203240032383a']"
"['refactor', 'test']",['test'],19.709123849868774,['11ffd5174bd61a2939ae58d2b2d43284302ae490']
"['cicd', 'refactor']","['build', 'refactor']",15.91051197052002,"['e0a977b2d316e7612b5d72cb02cd7d78e75dbc55', '0d23f1b3ed22e615b9611bb4eae01d2241e64dff']"
"['test', 'docs', 'refactor']","['docs', 'test']",12.267055749893188,"['9ed3c0c4a72af977fc9150512fb6538f20a94b22', 'f87659953e9af59bc7cb314a22dd076d988ef607']"
['refactor'],['test'],8.55005407333374,['7ece3a9a16780dc6c633bbd903d36ce0aefd6a8a']
"['refactor', 'build']","['docs', 'build', 'test']",10.896432161331177,"['363f84c7da411468b4103da8e0b39ca48cfd8327', '1269431c8a3e7549f10fcbbb4b88ff625c8898b3', '48d5d573886e9fdd0cca1cea47112c4a2f6edf52']"
"['refactor', 'cicd', 'build']","['refactor', 'cicd', 'fix']",8.614451885223389,"['f1bc5a554af4e617c7d7508f7f16f8fd25c78c91', 'e96487ad7ce90b141219d9032fa2bed68d5dae6a', 'c5904a9004fca1e438168ca7334a0deefab536ff']"
"['docs', 'cicd']","['docs', 'cicd']",2.335601806640625,"['f2f52c23b513dd857350f3c163f676d37189d0d3', '2ac99c0a66a1adc18ee4ef660608f814823dd198']"
['build'],['build'],1.4440360069274902,['9ab4c61975e073e214646443d088339cfdbaa88d']
"['refactor', 'test']","['test', 'fix']",9.088606834411621,"['c5e86dbc00a13a355bffadeb2db197e2fea5640f', '07452180fee89e98f05e1aeca68f9923d4c7ab63']"
['build'],"['build', 'fix']",5.909422874450684,"['607ecc92b5f8c084304e406eec725b7dcfa0a562', '7dc3b70fe40fc7de255a28bb3098bcb8c0d35365']"
"['refactor', 'build']","['refactor', 'build', 'feat']",12.327209949493408,"['3346331a963766c8193170fb130adad2e658ada2', 'bfe32bf10e9b6d699f694fbd095af0b3f2e6275f', 'd8d0ba8ea17ed43a04f90213851d2f27056d8cf0']"
